height,weight,age,Cluster
188.0,88.0,90.0,0
201.0,99.0,88.0,1
190.0,86.0,90.0,0
193.0,90.0,88.0,0
206.0,102.0,88.0,1
206.0,99.0,87.0,1
193.0,86.0,88.0,0
190.0,83.0,89.0,0
185.0,72.0,92.0,0
183.0,79.0,89.0,0
203.0,97.0,88.0,1
198.0,92.0,87.0,1
193.0,81.0,87.0,0
221.0,106.0,92.0,1
208.0,99.0,87.0,1
203.0,97.0,87.0,1
203.0,97.0,87.0,1
190.0,83.0,89.0,0
180.0,81.0,87.0,0
196.0,95.0,87.0,1
193.0,90.0,89.0,0
185.0,77.0,87.0,0
201.0,97.0,87.0,1
190.0,86.0,89.0,0
198.0,97.0,89.0,1
196.0,92.0,87.0,1
198.0,95.0,87.0,1
188.0,79.0,87.0,0
185.0,81.0,88.0,0
193.0,95.0,89.0,1
211.0,102.0,86.0,1
185.0,79.0,86.0,0
185.0,79.0,86.0,0
201.0,95.0,88.0,1
206.0,95.0,87.0,1
198.0,102.0,86.0,1
188.0,90.0,89.0,0
188.0,79.0,87.0,0
175.0,72.0,87.0,0
178.0,77.0,88.0,0
180.0,81.0,86.0,0
180.0,81.0,86.0,0
185.0,83.0,87.0,0
201.0,99.0,87.0,1
206.0,95.0,87.0,1
193.0,83.0,87.0,0
198.0,92.0,86.0,1
188.0,83.0,86.0,0
198.0,97.0,87.0,1
185.0,79.0,87.0,0
208.0,102.0,86.0,1
198.0,95.0,86.0,1
190.0,85.0,86.0,0
203.0,106.0,87.0,1
206.0,97.0,87.0,1
201.0,99.0,86.0,1
196.0,99.0,87.0,1
185.0,81.0,89.0,0
196.0,86.0,86.0,1
188.0,83.0,88.0,0
190.0,95.0,88.0,1
193.0,97.0,87.0,1
203.0,106.0,88.0,1
185.0,79.0,86.0,0
185.0,81.0,87.0,0
206.0,102.0,86.0,1
198.0,103.0,86.0,1
203.0,108.0,84.0,1
193.0,81.0,89.0,0
198.0,99.0,85.0,1
201.0,85.0,85.0,0
203.0,90.0,85.0,0
193.0,79.0,103.0,0
208.0,95.0,85.0,1
198.0,86.0,85.0,1
190.0,77.0,86.0,0
201.0,86.0,88.0,0
203.0,102.0,87.0,1
196.0,92.0,85.0,1
203.0,87.0,85.0,0
203.0,87.0,85.0,0
190.0,86.0,85.0,0
206.0,102.0,86.0,1
188.0,81.0,85.0,0
196.0,99.0,85.0,1
198.0,95.0,85.0,1
188.0,77.0,86.0,0
203.0,99.0,85.0,1
198.0,92.0,85.0,1
198.0,99.0,84.0,1
196.0,95.0,86.0,1
193.0,97.0,91.0,1
183.0,83.0,85.0,0
183.0,83.0,85.0,0
188.0,86.0,85.0,0
198.0,96.0,85.0,1
196.0,90.0,89.0,1
185.0,81.0,85.0,0
193.0,92.0,85.0,0
208.0,95.0,88.0,1
188.0,79.0,87.0,0
196.0,95.0,86.0,1
190.0,81.0,85.0,0
196.0,88.0,84.0,1
213.0,112.0,83.0,1
188.0,79.0,85.0,0
196.0,92.0,84.0,1
193.0,83.0,84.0,0
206.0,104.0,84.0,1
198.0,104.0,87.0,1
188.0,79.0,84.0,0
196.0,97.0,86.0,1
203.0,104.0,85.0,1
193.0,88.0,85.0,0
193.0,83.0,87.0,0
183.0,88.0,86.0,0
190.0,86.0,86.0,0
196.0,90.0,85.0,1
188.0,77.0,86.0,0
193.0,88.0,84.0,0
211.0,102.0,84.0,1
193.0,88.0,84.0,0
203.0,97.0,85.0,1
203.0,95.0,84.0,1
196.0,87.0,83.0,1
203.0,95.0,83.0,1
185.0,79.0,87.0,0
196.0,88.0,84.0,1
213.0,104.0,84.0,1
185.0,85.0,83.0,0
193.0,97.0,85.0,1
201.0,102.0,83.0,1
201.0,102.0,83.0,1
201.0,95.0,83.0,1
206.0,108.0,84.0,1
188.0,81.0,83.0,0
193.0,102.0,99.0,1
185.0,83.0,84.0,0
198.0,95.0,83.0,1
193.0,90.0,83.0,0
201.0,104.0,83.0,1
193.0,86.0,83.0,0
196.0,97.0,83.0,1
206.0,106.0,83.0,1
201.0,99.0,82.0,1
208.0,102.0,84.0,1
201.0,97.0,86.0,1
203.0,102.0,83.0,1
